BearID,Year,Capture date,Ageclass,Sex,OW_50prct,OW_15prct,Meltseason,Bearded_seal,Ringed_seal,Beluga_whale,Bowhead_whale,Seabird_nestling
20131,2007,2007-04-16,Adult,Female,104,37,120,45.85,54.15,0,0,0
20964,2008,2008-05-20,Adult,Female,158,89,147,46.65,53.35,0,0,0
20994,2010,2010-04-04,Adult,Male,135,88,148,54.55,45.45,0,0,0
2012029,2012,2012-05-04,Subadult,Female,136,100,164,54.87,45.13,0,0,0
20909,2007,2007-05-08,Adult,Male,104,37,120,55.56,44.44,0,0,0
21374,2014,2014-04-10,Adult,Female,121,72,115,66.22,33.79,0,0,0
32923,2010,2010-04-25,Adult,Female,135,88,148,67.91,32.1,0,0,0
21127,2010,2010-04-17,Adult,Male,135,88,148,72.09,27.92,0,0,0
20913,2007,2007-05-10,Adult,Male,104,37,120,80.34,19.66,0,0,0
21151,2010,2010-03-27,Subadult,Male,135,88,148,80.75,19.25,0,0,0
6119,2005,2005-03-30,Adult,Female,121,67,137,81.2,18.81,0,0,0
20895,2007,2007-04-19,Adult,Male,104,37,120,85.12,14.88,0,0,0
