BearID,Year,Day,Ageclass,Age,Sex,Parent,NumDependents,StatusCurrentYR,StatusPriorYR,YoungPriorYR,BodyLength,Mass,BMI,StorageEnergy,HairWeight,HairCortisol,ReactiveOxySpecies,BactericidalAbility,Lysis,OxidativeBarrier,UCratio,HairEstradiol ,SerumEstradiol,HairProgesterone,SerumProgesterone,HairTestosterone,SerumTestosterone
21253,2014,36,Subadult,4,F,No,0,,,,203.6,206.38,42.294,1109.815,194.7,5.229,15.676,13.884,5.535,343.805,,22.364,0.211,0.02,0.326,,
21260,2014,22,Adult,5,M,,,,,,206,232.24,45.11,1125.025,109,4.183,16.11,5.078,1.506,321.608,,,,,,0.018,
21266,2014,22,Subadult,3,F,No,0,,,,190,,,,117.1,4.184,12.778,7.023,1.324,356.195,,22.419,0.225,0.037,0.173,,
21307,2014,21,Adult,5,F,Yes,1,OFF,,,198,183.7,40.528,1032.437,115.5,2.805,13.213,33.766,4.229,316.962,,22.406,0.137,0.041,1.533,,
21335,2014,2,Subadult,3,M,,,,,,192.5,197.31,40.072,827.885,,,23.876,14.641,3.358,329.351,,,,,,,0.487
21343,2014,21,Subadult,3,F,No,0,,ON,,190,183.25,42.805,1253.3,221.2,3.544,11.011,3.241,1.368,304.572,,22.585,0.748,0.019,0.532,,
21348,2014,21,,,M,,,,,,,,,,,5.827,,,,,,,,,,,
21358,2014,22,Subadult,4,F,Yes,1,,ON,,196,190.06,41.929,1198.583,124.2,2.899,8.678,90.816,2.114,337.094,,22.419,0.03,0.036,0.471,,
21359,2014,31,Subadult,4,M,,,,ON,,199.6,210.47,43.922,1320.758,168.5,3.145,,,,,,,,,,0.013,
21361,2014,11,Adult,,M,,,,,,,,,,,,,,,,,,,,,,
21362,2014,2,Adult,5,M,,,,,,221,229.06,40.138,493.551,158.8,2.065,12.054,2.485,2.107,342.257,19.59,,,,,0.013,2.904
21363,2014,7,Subadult,3,M,,,,,,199,202.76,41.177,963.922,101.6,3.189,12.764,89.573,2.268,329.867,,,,,,0.023,7.419
21364,2014,11,Adult,18,F,Yes,1,OFF,,1,203.3,217.72,43.822,1365.62,,,19.428,18.26,0.715,319.027,89.41,,,,,,
21366,2014,14,Adult,8,F,No,0,OFF,,,183.3,147.87,38.923,973.093,129.1,2.541,8.041,89.303,2.41,351.032,,22.626,0.235,0.036,0.906,,
21367,2014,15,Subadult,3,M,,,,,,207.5,238.14,47.503,1373.444,49.1,5.01,9.794,6.483,2.146,340.708,11.29,,,,,0.046,8.004
21368,2014,16,Subadult,4,F,No,0,ON,,,188,175.09,41.353,1195.924,286.2,2.46,12.039,3.025,2.194,323.673,,23.496,0.242,0.015,0.244,,
21369,2014,17,Adult,6,F,Yes,2,,,,187.8,166.92,38.617,852.917,46.8,4.017,11.214,90.33,2.152,317.994,19.93,23.289,0.028,0.11,0.26,,
21374,2014,18,Adult,6,F,No,0,,,,192.2,166.92,51.881,2269.349,124.5,5.59,8.07,8.428,1.928,350,,20.363,0.348,0.038,0.442,,
21375,2014,22,,,M,,,,,,,,,,,,14.647,5.943,1.619,335.546,,,,,,,
21376,2014,25,Adult,5,F,No,0,,,,189,175.54,43.925,1468.506,,2.237,,,,,11.92,,,,,,
21380,2014,21,Subadult,4,F,No,0,OFF,,,184.6,174.63,45.039,1583.263,168.4,5.048,15.98,11.561,1.413,330.9,73.57,21.453,0.414,0.024,0.647,,
21382,2014,23,Adult,,F,Yes,1,OFF,,,191,160.12,35.997,520.637,138.9,3.585,5.027,7.563,2.681,303.54,,22.999,0.267,0.031,0.141,,
21384,2014,23,Adult,5,F,No,0,,,,198.2,196.41,40.616,915.12,107.4,5.158,12.691,5.889,2.135,357.743,,22.682,0.175,0.039,0.097,,
21385,2014,28,Subadult,2,F,No,0,,,,105.8,101.15,62.77,1759.767,147.3,5.553,7.244,4.052,1.977,348.968,,22.613,0.221,0.03,0.443,,
21386,2014,28,Subadult,2,F,No,0,,,,168.9,137.89,36.296,665.311,154.9,4.893,10.388,4.808,1.545,344.838,,22.571,0.039,0.029,0.097,,
21387,2014,29,Subadult,,F,No,0,,,,,,,,137,6.234,13.314,5.186,,325.221,,23.261,0.461,0.032,0.077,,
21391,2014,19,Subadult,,F,No,0,,,,191.8,165.56,38.673,811.182,,1.624,,,,,,,,,,,
26642,2014,28,Adult,,M,,,,,,,,,,,,,,,,,,,,,,
32261,2014,17,Adult,16,M,,,,,,234.4,462.66,70.66,4142.354,172.5,2.991,17.632,15.451,1.734,339.159,46.22,,,,,0.012,18.582
32366,2014,30,Adult,12,F,Yes,2,ON,,2,188.3,175.09,41.7,1216.413,39.4,5.228,7.664,9.238,2.503,350.465,,22.199,0.382,0.124,1.152,,
20296,2015,22,Adult,,M,,,,,,244,457.67,61.016,2939.779,40.5,2.272,7.585,12.174,0.001,356.042,,,,,,0.055,57.661
20726,2015,25,Adult,,M,,,OFF,,,229.7,400.07,54.928,2074.098,136.1,3.057,4.874,100,1.861,355.113,11.84,,,,,0.012,55.523
20753,2015,44,Adult,,M,,,,,,248,474,61.832,3059.477,146.1,2.902,26.548,100,1.833,356.972,,,,,,0.013,21.247
20845,2015,21,Adult,,F,Yes,2,,ON,,203,206.84,43.165,1309.692,221.7,1.822,13.793,100,0.001,355.113,,23.799,0.384,0.02,0.25,,
20849,2015,10,Adult,,M,,,OFF,,,246,514.83,71.743,4440.393,17.6,,9.822,0,0.001,356.042,3.68,,,,,0.151,16.117
21045,2015,22,Adult,,F,Yes,1,,,,196.3,214.1,49.057,2036.211,222.3,3.068,8.163,100,2.046,359.761,,23.054,0.322,0.018,0.382,,
21153,2015,19,Adult,,M,,,,,,227,351.99,54.18,2039.276,169,3.053,11.422,8.696,1.611,356.972,,,,,,0.011,3.854
21214,2015,25,Adult,,F,No,0,,ON,,201,173.73,38.326,771.351,86.3,5.353,10.978,100,3.356,352.324,24.99,23.454,0.038,0.053,0.443,,
21222,2015,9,Adult,,M,,,,,,,,,,,1.42,9.481,100,2.739,390.438,,,,,,,
21249,2015,25,Adult,,F,No,0,,,,196,191.42,43.861,1442.833,131.7,4.404,15.111,100,2.584,351.394,24.14,23.799,0.235,0.032,0.087,,
21274,2015,12,Adult,,M,,,,,,222,340.19,54.918,2142.125,46.2,3.636,20.948,100,1.504,354.183,10.33,,,,,0.059,5.35
21276,2015,22,Adult,,F,No,0,,,,197,180.53,39.456,895.961,66.6,3.904,8.726,100,1.231,352.324,18.03,22.944,0.096,0.066,0.181,,
21307,2015,45,Adult,,F,Yes,1,,OFF,,197,173.73,35.926,386.912,143.4,1.506,7.304,6.832,0.001,355.113,15.33,23.137,0.5,0.037,0.18,,
21340,2015,23,Adult,,F,No,0,,,,193,180.08,41.66,1197.076,44.7,4.787,6.756,100,1.942,353.254,,24.034,0.595,0.107,,,
21343,2015,17,Subadult,,F,No,0,,,,191.9,202.76,46.459,1643.407,289.6,1.713,11.748,100,1.988,359.761,,22.82,2.046,0.016,0.414,,
21367,2015,30,Subadult,,M,,,,,,202,262.18,48.336,1808.294,114.9,4.334,8.77,100,0.001,363.479,,,,,,0.016,
21368,2015,19,Adult,,F,Yes,1,,ON,0,190.4,185.97,44.293,1501.235,143.1,2.11,10.326,100,,359.761,,22.378,0.506,0.031,1.001,,
21379,2015,29,,,M,,,,,,,,,,,6.444,,,,,,,,,,,
21380,2015,22,Adult,,F,No,0,,OFF,0,202,175.99,35.742,331.806,48.9,4.622,11.007,100,,357.902,,23.358,0.179,0.099,0.128,,
21389,2015,44,Subadult,,F,No,0,,,,178,125.64,32.736,316.225,79.1,3.793,12.133,100,0.001,376.494,,23.744,0.035,0.061,0.358,,
21392,2015,9,Adult,,F,No,0,OFF,,,191,175.09,41.7,1216.413,68.3,5.447,13.185,100,1.329,370.916,65.81,23.096,0.42,0.067,1.81,,
21393,2015,10,Subadult,,F,No,0,,,,174,123.38,34.939,591.411,54.9,3.169,,,0.001,348.606,,22.682,0.044,0.092,0.562,,
21394,2015,11,Adult,,F,No,0,,,,186,198.22,50.099,2108.513,90.5,3.514,17.852,100,1.433,354.183,,22.309,0.054,0.049,0.368,,
21395,2015,11,Adult,,M,,,,,,197,249.48,52.542,1850.904,63.8,4.107,17.585,100,0.001,350.465,94.42,,,,,0.035,2.972
21396,2015,12,Subadult,,F,No,0,,,,191,157.4,37.124,655.106,97.1,2.925,6.356,100,1.255,354.183,,23.579,0.078,0.045,0.732,,
21397,2015,12,Adult,,F,No,0,,,,194,186.88,42.821,1324.158,36.1,3.047,17.556,1.491,1.414,349.535,,24.972,0.292,0.138,0.391,,
21398,2015,17,Subadult,,M,,,,,,204,183.25,34.373,1408.71,116.7,3.513,10.978,100,,389.509,,,,,,0.018,4.102
21399,2015,17,Adult,,F,No,0,,,,186,144.7,36.942,754.305,114.5,3.563,13.348,100,,356.972,,23.261,0.058,0.039,0.13,,
22294,2015,19,Subadult,,F,No,0,,,,173.4,112.04,30.739,186.786,60.1,5.324,12.4,100,,358.831,,23.413,0.598,0.078,0.709,,
22298,2015,21,Subadult,,M,,,,,,,,,,,2.004,10.904,0.87,0.001,356.042,,,,,,,3.678
22299,2015,22,Adult,,M,,,,,,206,248.11,47.356,1344.012,178.7,3.044,12.519,57.143,,366.268,,,,,,0.013,4.229
22300,2015,22,Subadult,,M,,,,,,211,214.55,40.243,739.095,55.2,3.225,12.904,100,,352.324,,,,,,0.042,0.504
22302,2015,24,Adult,,F,Yes,2,OFF,,,193,180.98,39.927,961.232,254.3,3.72,10.681,100,,356.042,,23.841,0.15,0.017,0.429,,
22305,2015,25,Adult,,F,No,0,,,,199.5,171.91,36.541,507.247,133.4,4.258,13.881,100,,356.972,,23.951,0.326,0.037,0.283,,
22308,2015,30,Subadult,,F,No,0,,,,177,141.97,38.548,893.725,34.4,6.977,12.904,100,,350.465,,23.661,0.057,0.129,0.531,,
22309,2015,31,Adult,,F,Yes,1,,,,181,132,35.838,689.332,51.1,5.205,6.37,100,,358.831,7.95,23.703,0.147,0.097,0.184,,
22311,2015,45,Subadult,,F,No,0,,,,186,142.88,35.398,525.328,56,6.071,14.904,4.099,0.001,349.535,,23.758,0.03,0.081,1.394,,
32362,2015,23,Adult,,M,,,,,,224,408.69,65.975,3478.928,82,3.585,16.252,100,,342.098,,,,,,0.023,53.57
32366,2015,44,Adult,,F,No,0,,ON,,195.5,168.28,36.779,575.536,92.9,3.014,10.593,100,,348.451,20.2,23.192,0.041,0.052,0.399,,
32698,2015,30,Adult,,F,Yes,2,,,,184.5,175.54,43.489,1421.407,77.5,6.039,6.044,100,,382.072,56.71,23.22,1.24,0.057,0.666,,
